#S 1
#D #D Sat Nov 2 15:25:30 2024
#U blowerT 25.0
#V signal fl
#V reference tr
#V E0 24353.538239071648
#V refE0 24350.0
#V blowerT 25.0
#V J0 165668859985.5537
#L E               x
   2.420028e+04    -9.989508e-01
   2.420118e+04    -9.998714e-01
   2.420214e+04    -9.983414e-01
   2.420307e+04    -1.000104e+00
   2.420400e+04    -1.000282e+00
   2.420497e+04    -1.000011e+00
   2.420595e+04    -1.000332e+00
   2.420686e+04    -9.994855e-01
   2.420774e+04    -9.993551e-01
   2.420870e+04    -9.991046e-01
   2.420958e+04    -1.000520e+00
   2.421058e+04    -9.993718e-01
   2.421147e+04    -9.992322e-01
   2.421235e+04    -9.993371e-01
   2.421330e+04    -1.000208e+00
   2.421421e+04    -9.995926e-01
   2.421517e+04    -9.997050e-01
   2.421608e+04    -1.000165e+00
   2.421697e+04    -9.998938e-01
   2.421791e+04    -9.999791e-01
   2.421888e+04    -1.000190e+00
   2.421974e+04    -9.997235e-01
   2.422074e+04    -9.989452e-01
   2.422165e+04    -1.000007e+00
   2.422252e+04    -1.000167e+00
   2.422344e+04    -9.997470e-01
   2.422439e+04    -1.000390e+00
   2.422532e+04    -9.999581e-01
   2.422627e+04    -1.001015e+00
   2.422724e+04    -9.997504e-01
   2.422816e+04    -9.995211e-01
   2.422905e+04    -1.000308e+00
   2.422994e+04    -1.000384e+00
   2.423088e+04    -1.000907e+00
   2.423180e+04    -1.000624e+00
   2.423273e+04    -1.000910e+00
   2.423364e+04    -9.995599e-01
   2.423455e+04    -9.998522e-01
   2.423547e+04    -1.000853e+00
   2.423642e+04    -1.000418e+00
   2.423735e+04    -1.001105e+00
   2.423830e+04    -1.001197e+00
   2.423925e+04    -1.000733e+00
   2.424011e+04    -1.000258e+00
   2.424107e+04    -1.000514e+00
   2.424202e+04    -1.000318e+00
   2.424299e+04    -1.000614e+00
   2.424391e+04    -1.001534e+00
   2.424480e+04    -1.000895e+00
   2.424572e+04    -1.000208e+00
   2.424664e+04    -1.000282e+00
   2.424754e+04    -1.000584e+00
   2.424855e+04    -1.000938e+00
   2.424943e+04    -9.999817e-01
   2.425037e+04    -9.997544e-01
   2.425132e+04    -9.998582e-01
   2.425220e+04    -1.001186e+00
   2.425316e+04    -9.991511e-01
   2.425406e+04    -1.001016e+00
   2.425504e+04    -1.000578e+00
   2.425593e+04    -1.000004e+00
   2.425690e+04    -1.000248e+00
   2.425776e+04    -1.000568e+00
   2.425868e+04    -1.000041e+00
   2.425968e+04    -1.000000e+00
   2.426064e+04    -1.000120e+00
   2.426158e+04    -9.988957e-01
   2.426248e+04    -9.994029e-01
   2.426342e+04    -1.000189e+00
   2.426436e+04    -9.995998e-01
   2.426531e+04    -9.998311e-01
   2.426627e+04    -9.999349e-01
   2.426715e+04    -9.996840e-01
   2.426809e+04    -9.989405e-01
   2.426899e+04    -9.993949e-01
   2.426996e+04    -9.992367e-01
   2.427090e+04    -9.994722e-01
   2.427183e+04    -9.986916e-01
   2.427271e+04    -9.979678e-01
   2.427374e+04    -9.991702e-01
   2.427463e+04    -9.997701e-01
   2.427565e+04    -9.998838e-01
   2.427653e+04    -9.987002e-01
   2.427751e+04    -9.982481e-01
   2.427841e+04    -9.994056e-01
   2.427932e+04    -9.984694e-01
   2.428028e+04    -9.977169e-01
   2.428124e+04    -9.981669e-01
   2.428213e+04    -9.989921e-01
   2.428312e+04    -9.975614e-01
   2.428403e+04    -9.983121e-01
   2.428500e+04    -9.969958e-01
   2.428594e+04    -9.980470e-01
   2.428696e+04    -9.987905e-01
   2.428783e+04    -9.981096e-01
   2.428880e+04    -9.977447e-01
   2.428977e+04    -9.974799e-01
   2.429070e+04    -9.972835e-01
   2.429166e+04    -9.964596e-01
   2.429261e+04    -9.974214e-01
   2.429355e+04    -9.967578e-01
   2.429447e+04    -9.966333e-01
   2.429544e+04    -9.967496e-01
   2.429636e+04    -9.973592e-01
   2.429734e+04    -9.963941e-01
   2.429825e+04    -9.952823e-01
   2.429918e+04    -9.955546e-01
   2.430007e+04    -9.948423e-01
   2.430108e+04    -9.955325e-01
   2.430202e+04    -9.942596e-01
   2.430300e+04    -9.945062e-01
   2.430389e+04    -9.945363e-01
   2.430486e+04    -9.929421e-01
   2.430582e+04    -9.939110e-01
   2.430676e+04    -9.932246e-01
   2.430772e+04    -9.922149e-01
   2.430869e+04    -9.939592e-01
   2.430963e+04    -9.918530e-01
   2.431050e+04    -9.913404e-01
   2.431147e+04    -9.918930e-01
   2.431245e+04    -9.916664e-01
   2.431340e+04    -9.903801e-01
   2.431434e+04    -9.894642e-01
   2.431524e+04    -9.884680e-01
   2.431624e+04    -9.885770e-01
   2.431712e+04    -9.872994e-01
   2.431808e+04    -9.870367e-01
   2.431903e+04    -9.874773e-01
   2.431991e+04    -9.854534e-01
   2.432093e+04    -9.845568e-01
   2.432183e+04    -9.831403e-01
   2.432279e+04    -9.825941e-01
   2.432384e+04    -9.825859e-01
   2.432479e+04    -9.813482e-01
   2.432571e+04    -9.802934e-01
   2.432668e+04    -9.793231e-01
   2.432764e+04    -9.785339e-01
   2.432856e+04    -9.765445e-01
   2.432950e+04    -9.737631e-01
   2.433045e+04    -9.714770e-01
   2.433139e+04    -9.724449e-01
   2.433232e+04    -9.697608e-01
   2.433330e+04    -9.672694e-01
   2.433428e+04    -9.640178e-01
   2.433516e+04    -9.614084e-01
   2.433617e+04    -9.585986e-01
   2.433707e+04    -9.570822e-01
   2.433805e+04    -9.546223e-01
   2.433892e+04    -9.499710e-01
   2.433990e+04    -9.440699e-01
   2.434088e+04    -9.421040e-01
   2.434182e+04    -9.352479e-01
   2.434274e+04    -9.273544e-01
   2.434375e+04    -9.205247e-01
   2.434472e+04    -9.121014e-01
   2.434567e+04    -8.989983e-01
   2.434660e+04    -8.847508e-01
   2.434753e+04    -8.683948e-01
   2.434844e+04    -8.447014e-01
   2.434941e+04    -8.149452e-01
   2.435036e+04    -7.859615e-01
   2.435137e+04    -7.458235e-01
   2.435230e+04    -6.994839e-01
   2.435326e+04    -6.416612e-01
   2.435430e+04    -5.891699e-01
