#L k               Pd_01_0001      Pd_01_0002      Pd_01_0003      Pd_01_0004      Pd_01_0005
   0.000000        -2.350945e+00   -1.623171e+00   -2.386300e+00   -2.805411e+00   -2.227445e+00
   0.100000        -3.419191e+00   -2.592620e+00   -3.271080e+00   -3.655891e+00   -3.207686e+00
   0.200000        -4.263301e+00   -3.418471e+00   -3.903217e+00   -4.186412e+00   -3.976665e+00
   0.300000        -4.675949e+00   -3.903827e+00   -4.104614e+00   -4.213351e+00   -4.346435e+00
   0.400000        -4.449809e+00   -3.851790e+00   -3.697168e+00   -3.557203e+00   -4.129048e+00
   0.500000        -3.406887e+00   -3.078910e+00   -2.625235e+00   -2.341219e+00   -3.161943e+00
   0.600000        -1.936483e+00   -1.841181e+00   -1.418846e+00   -1.193052e+00   -1.804223e+00
   0.700000        -9.340378e-01   -9.186456e-01   -7.542549e-01   -7.031654e-01   -8.951038e-01
   0.800000        -7.249804e-01   -6.889089e-01   -6.622554e-01   -6.627894e-01   -7.116292e-01
   0.900000        -6.578234e-01   -6.465585e-01   -5.979387e-01   -5.820624e-01   -6.478977e-01
   1.000000        -5.328512e-01   -5.335902e-01   -4.999862e-01   -4.891807e-01   -5.267887e-01
   1.100000        -4.673351e-01   -4.628396e-01   -4.459960e-01   -4.334130e-01   -4.567361e-01
   1.200000        -3.994094e-01   -3.967141e-01   -3.868903e-01   -3.732514e-01   -3.973143e-01
   1.300000        -3.209737e-01   -3.275093e-01   -3.116679e-01   -2.962770e-01   -3.234312e-01
   1.400000        -2.478682e-01   -2.499098e-01   -2.376326e-01   -2.301925e-01   -2.481769e-01
   1.500000        -1.586316e-01   -1.556465e-01   -1.547070e-01   -1.455008e-01   -1.618347e-01
   1.600000        -7.052821e-02   -7.161678e-02   -6.567337e-02   -5.225147e-02   -6.760701e-02
   1.700000        +2.703714e-02   +1.921221e-02   +2.602561e-02   +3.029052e-02   +1.528603e-02
   1.800000        +8.111110e-02   +8.141714e-02   +8.757075e-02   +9.408523e-02   +8.866081e-02
   1.900000        +1.270650e-01   +1.240091e-01   +1.313099e-01   +1.283910e-01   +1.241687e-01
