#L E_Pd_01_0001    x_Pd_01_0001    E_Pd_01_0002    x_Pd_01_0002    E_Pd_01_0003    x_Pd_01_0003    E_Pd_01_0004    x_Pd_01_0004    E_Pd_01_0005    x_Pd_01_0005
   2.420024e+04    +2.841830e-05   2.420023e+04    +1.781571e-04   2.420037e+04    +1.527662e-04   2.420012e+04    +2.875253e-04   2.420028e+04    +1.049181e-03
   2.420116e+04    +1.117936e-03   2.420116e+04    +1.219579e-04   2.420126e+04    -6.488965e-05   2.420109e+04    +5.947503e-04   2.420118e+04    +1.286067e-04
   2.420210e+04    +6.184062e-04   2.420211e+04    +1.419863e-03   2.420224e+04    +1.765755e-04   2.420202e+04    -5.034460e-04   2.420214e+04    +1.658642e-03
   2.420308e+04    +9.257855e-04   2.420301e+04    +3.369653e-04   2.420316e+04    +8.122063e-04   2.420293e+04    +8.608875e-05   2.420307e+04    -1.035601e-04
   2.420400e+04    -3.934395e-04   2.420400e+04    +3.535018e-04   2.420407e+04    +8.787314e-04   2.420394e+04    +1.119524e-03   2.420400e+04    -2.819495e-04
   2.420492e+04    +4.195148e-04   2.420492e+04    -3.765828e-04   2.420504e+04    +2.041611e-04   2.420488e+04    +9.934644e-04   2.420497e+04    -1.054319e-05
   2.420588e+04    +1.059481e-04   2.420585e+04    -7.369955e-04   2.420606e+04    +3.685227e-04   2.420574e+04    +4.977408e-04   2.420595e+04    -3.324436e-04
   2.420687e+04    +4.765825e-04   2.420680e+04    +3.086814e-04   2.420691e+04    +4.884161e-04   2.420672e+04    +3.907378e-04   2.420686e+04    +5.145229e-04
   2.420773e+04    -9.355279e-04   2.420766e+04    +1.117289e-03   2.420787e+04    +4.474693e-04   2.420767e+04    -1.365777e-05   2.420774e+04    +6.449235e-04
   2.420872e+04    +2.993638e-04   2.420864e+04    +5.891901e-04   2.420878e+04    +1.902696e-04   2.420864e+04    +7.393422e-04   2.420870e+04    +8.954385e-04
   2.420964e+04    +9.320948e-04   2.420957e+04    +4.660731e-04   2.420970e+04    -4.304213e-04   2.420959e+04    +3.995137e-04   2.420958e+04    -5.199781e-04
   2.421059e+04    +1.659303e-04   2.421049e+04    +4.426877e-04   2.421067e+04    +5.851961e-04   2.421045e+04    +1.378997e-03   2.421058e+04    +6.281689e-04
   2.421156e+04    +7.257136e-04   2.421143e+04    -4.492044e-04   2.421155e+04    +2.633241e-04   2.421139e+04    -7.630773e-04   2.421147e+04    +7.678306e-04
   2.421238e+04    -1.669573e-04   2.421242e+04    +5.312696e-04   2.421248e+04    +5.419907e-06   2.421231e+04    -1.409265e-05   2.421235e+04    +6.629374e-04
   2.421327e+04    -9.875014e-04   2.421329e+04    +5.850583e-04   2.421340e+04    +3.285779e-04   2.421320e+04    -3.019918e-05   2.421330e+04    -2.080181e-04
   2.421426e+04    -7.401854e-06   2.421415e+04    -3.810067e-05   2.421428e+04    -4.010104e-04   2.421418e+04    +2.063846e-04   2.421421e+04    +4.073593e-04
   2.421521e+04    -4.434563e-04   2.421511e+04    -5.335149e-04   2.421525e+04    +7.921696e-04   2.421501e+04    +4.624251e-04   2.421517e+04    +2.950232e-04
   2.421609e+04    +6.409960e-05   2.421606e+04    -3.716543e-04   2.421610e+04    -8.140517e-04   2.421595e+04    -4.486788e-04   2.421608e+04    -1.650682e-04
   2.421701e+04    -1.540250e-04   2.421705e+04    +4.910992e-05   2.421709e+04    +1.687837e-04   2.421687e+04    -1.611640e-03   2.421697e+04    +1.061632e-04
   2.421793e+04    -6.361101e-04   2.421787e+04    +4.275492e-04   2.421797e+04    +4.611771e-04   2.421775e+04    -5.503593e-05   2.421791e+04    +2.086486e-05
   2.421887e+04    +3.065112e-04   2.421877e+04    -2.614287e-04   2.421894e+04    -4.437111e-05   2.421879e+04    -2.950471e-04   2.421888e+04    -1.898844e-04
   2.421975e+04    -1.199141e-03   2.421968e+04    +1.419238e-04   2.421989e+04    -7.917402e-04   2.421960e+04    +2.192827e-05   2.421974e+04    +2.764907e-04
   2.422068e+04    -2.559556e-04   2.422066e+04    -8.831075e-04   2.422077e+04    -4.059989e-05   2.422055e+04    +2.731634e-04   2.422074e+04    +1.054768e-03
   2.422159e+04    +3.069276e-05   2.422162e+04    +8.262841e-05   2.422170e+04    -1.864250e-04   2.422156e+04    -1.199501e-03   2.422165e+04    -7.426418e-06
   2.422258e+04    +5.803741e-04   2.422251e+04    -1.121469e-03   2.422262e+04    +8.923608e-05   2.422242e+04    +8.494734e-05   2.422252e+04    -1.670053e-04
   2.422344e+04    -3.712367e-04   2.422343e+04    +4.489797e-04   2.422358e+04    -7.587266e-05   2.422339e+04    +5.348001e-04   2.422344e+04    +2.530435e-04
